"filelink","filename","filetype"
"http://kupc.kcg.gov.tw/KUPC/web_upload/KPA0007/20160120102922-1.pdf","高雄市都市計畫委員會第51次會議紀錄","pdf"
"http://kupc.kcg.gov.tw/KUPC/web_upload/KPA0007/20160106105025-1.pdf","高雄市都市計畫委員會第50次會議紀錄 ","pdf"
"http://kupc.kcg.gov.tw/KUPC/web_upload/KPA0007/20151020095052-1.pdf","高雄市都市計畫委員會第49次會議紀錄 ","pdf"
"http://kupc.kcg.gov.tw/KUPC/web_upload/KPA0007/20150916154501-1.pdf","高雄市都市計畫委員會第48次會議紀錄","pdf"
"http://kupc.kcg.gov.tw/KUPC/web_upload/KPA0007/20150722155327-1.pdf","高雄市都市計畫委員會第47次會議紀錄","pdf"
"http://kupc.kcg.gov.tw/KUPC/web_upload/KPA0007/20150630083105-1.pdf","高雄市都市計畫委員會第46次會議紀錄","pdf"
"http://kupc.kcg.gov.tw/KUPC/web_upload/KPA0007/20150527113339-1.pdf","高雄市都市計畫委員會第45次會議紀錄","pdf"
"http://kupc.kcg.gov.tw/KUPC/web_upload/KPA0007/20150416115734-1.pdf","高雄市都市計畫委員會第44次會議紀錄","pdf"
"http://kupc.kcg.gov.tw/KUPC/web_upload/KPA0007/20150331162514-1.pdf","高雄市都市計畫委員會第43次會議紀錄","pdf"
"http://kupc.kcg.gov.tw/KUPC/web_upload/KPA0007/20141127190013-1.pdf","高雄市都市計畫委員會第42次會議紀錄 ","pdf"
"http://kupc.kcg.gov.tw/KUPC/web_upload/KPA0007/20141023102623-1.doc","高雄市都市計畫委員會第41次會議紀錄 ","doc"
"http://kupc.kcg.gov.tw/KUPC/web_upload/KPA0007/20160128134411-1.pdf","高雄市都市計畫委員會第40次會議紀錄","pdf"
"http://kupc.kcg.gov.tw/KUPC/web_upload/KPA0007/20140716103732-1.pdf","高雄市都市計畫委員會第39次會議紀錄","pdf"
"http://kupc.kcg.gov.tw/KUPC/web_upload/KPA0007/20140604174431-1.pdf","高雄市都市計畫委員會第38次會議紀錄","pdf"
"http://kupc.kcg.gov.tw/KUPC/web_upload/KPA0007/20140326192051-1.pdf","高雄市都市計畫委員會第37次會議紀錄","pdf"
"http://kupc.kcg.gov.tw/KUPC/web_upload/KPA0007/20140117093405-1.doc","高雄市都市計畫委員會第36次會議紀錄1","doc"
"http://kupc.kcg.gov.tw/KUPC/web_upload/KPA0007/20140117095000-1.pdf","高雄市都市計畫委員會第36次會議紀錄2","pdf"
"http://kupc.kcg.gov.tw/KUPC/web_upload/KPA0007/20140117095146-1.pdf","高雄市都市計畫委員會第36次會議紀錄3","pdf"
"http://kupc.kcg.gov.tw/KUPC/web_upload/KPA0007/20140117095307-1.pdf","高雄市都市計畫委員會第36次會議紀錄4","pdf"
"http://kupc.kcg.gov.tw/KUPC/web_upload/KPA0007/20140117095549-1.pdf","高雄市都市計畫委員會第36次會議紀錄5-1","pdf"
"http://kupc.kcg.gov.tw/KUPC/web_upload/KPA0007/20140117095701-1.pdf","高雄市都市計畫委員會第36次會議紀錄5-2","pdf"
"http://kupc.kcg.gov.tw/KUPC/web_upload/KPA0007/20140128112710-1.pdf","高雄市都市計畫委員會第36次會議紀錄5-3","pdf"
"http://kupc.kcg.gov.tw/KUPC/web_upload/KPA0007/20140117100035-1.pdf","高雄市都市計畫委員會第36次會議紀錄5-4","pdf"
"http://kupc.kcg.gov.tw/KUPC/web_upload/KPA0007/20140106100148-1.pdf","高雄市都市計畫委員會第35次會議紀錄 　","pdf"
"http://kupc.kcg.gov.tw/KUPC/web_upload/KPA0007/20131112152441-1.pdf","高雄市都市計畫委員會第34次會議紀錄","pdf"
"http://kupc.kcg.gov.tw/KUPC/web_upload/KPA0007/20131018111804-1.pdf","高雄市都市計畫委員會第33次會議紀錄","pdf"
"http://kupc.kcg.gov.tw/KUPC/web_upload/KPA0007/20130926095225-1.pdf","高雄市都市計畫委員會第32次會議紀錄 ","pdf"
"http://kupc.kcg.gov.tw/KUPC/web_upload/KPA0007/20130815155316-1.pdf","高雄市都市計畫委員會第31次會議紀錄","pdf"
"http://kupc.kcg.gov.tw/KUPC/web_upload/KPA0007/20130730084212-1.pdf","高雄市都市計畫委員會第30次會議紀錄 ","pdf"
"http://kupc.kcg.gov.tw/KUPC/web_upload/KPA0007/20130611172910-1.pdf","高雄市都市計畫委員會第29次會議紀錄 ","pdf"
"http://kupc.kcg.gov.tw/KUPC/web_upload/KPA0007/20130508112554-1.pdf","高雄市都市計畫委員會第28次會議紀錄","pdf"
"http://kupc.kcg.gov.tw/KUPC/web_upload/KPA0007/20130424180327-1.pdf","高雄市都市計畫委員會第27次會議紀錄 ","pdf"
"http://kupc.kcg.gov.tw/KUPC/web_upload/KPA0007/20130314105108-1.pdf","高雄市都市計畫委員會第26次會議紀錄 ","pdf"
"http://kupc.kcg.gov.tw/KUPC/web_upload/KPA0007/20140502164755-1.pdf","高雄市都市計畫委員會第25次會議紀錄 ","pdf"
"http://kupc.kcg.gov.tw/KUPC/web_upload/KPA0007/20130114135357-1.pdf","高雄市都市計畫委員會第24次會議紀錄","pdf"
"http://kupc.kcg.gov.tw/KUPC/web_upload/KPA0007/20121213113850-1.pdf","高雄市都市計畫委員會第23次會議紀錄","pdf"
"http://kupc.kcg.gov.tw/KUPC/web_upload/KPA0007/20121114085134-1.pdf","高雄市都市計畫委員會第22次會議紀錄","pdf"
"http://kupc.kcg.gov.tw/KUPC/web_upload/KPA0007/20121017163935-1.pdf","高雄市都市計畫委員會第21次會議紀錄1 ","pdf"
"http://kupc.kcg.gov.tw/KUPC/web_upload/KPA0007/20121213120140-1.pdf","第21次會議紀錄2表二變更內容綜理表決議 ","pdf"
"http://kupc.kcg.gov.tw/KUPC/web_upload/KPA0007/20121213121004-1.pdf","第21次會議紀錄3表三公展期間人陳綜理表決議","pdf"
"http://kupc.kcg.gov.tw/KUPC/web_upload/KPA0007/20121213121139-1.pdf","第21次會議紀錄4表四公開徵求意見期間人陳綜理表決議","pdf"
"http://kupc.kcg.gov.tw/KUPC/web_upload/KPA0007/20121213121335-1.pdf","第21次會議紀錄5表五土地使用管制綜理表決議 ","pdf"
"http://kupc.kcg.gov.tw/KUPC/web_upload/KPA0007/20121213121451-1.pdf","第21次會議紀錄6表六都市設計基準大會","pdf"
"http://kupc.kcg.gov.tw/KUPC/web_upload/KPA0007/20121213121619-1.pdf","第21次會議紀錄7表二--附圖","pdf"
"http://kupc.kcg.gov.tw/KUPC/web_upload/KPA0007/20120906134934-1.pdf","高雄市都市計畫委員會第20次會議紀錄 ","pdf"
"http://kupc.kcg.gov.tw/KUPC/web_upload/KPA0007/20120813105949-1.pdf","高雄市都市計畫委員會第19次會議紀錄 ","pdf"
"http://kupc.kcg.gov.tw/KUPC/web_upload/KPA0007/20120718140659-1.pdf","高雄市都市計畫委員會第18次會議紀錄","pdf"
"http://kupc.kcg.gov.tw/KUPC/web_upload/KPA0007/20120704114524-1.pdf","高雄市都市計畫委員會第17次會議紀錄","pdf"
"http://kupc.kcg.gov.tw/KUPC/web_upload/KPA0007/20120601172219-1.pdf","高雄市都市計畫委員會第16次會議紀錄","pdf"
"http://kupc.kcg.gov.tw/KUPC/web_upload/KPA0007/20120503172741-1.pdf","高雄市都市計畫委員會第15次會議紀錄 ","pdf"
"http://kupc.kcg.gov.tw/KUPC/web_upload/KPA0007/20120416113950-1.pdf","高雄市都市計畫委員會第14次會議紀錄 ","pdf"
"http://kupc.kcg.gov.tw/KUPC/web_upload/KPA0007/20120112174107-1.pdf","高雄市都市計畫委員會第13次會議紀錄 ","pdf"
"http://kupc.kcg.gov.tw/KUPC/web_upload/KPA0007/20111208132714-1.pdf","高雄市都市計畫委員會第12次會議紀錄 ","pdf"
"http://kupc.kcg.gov.tw/KUPC/web_upload/KPA0007/20111114100426-1.pdf","高雄市都市計畫委員會第11次會議紀錄 ","pdf"
"http://kupc.kcg.gov.tw/KUPC/web_upload/KPA0007/20111014104209-1.pdf","高雄市都市計畫委員會第10次會議紀錄","pdf"
"http://kupc.kcg.gov.tw/KUPC/web_upload/KPA0007/20110928164306-1.pdf","高雄市都市計畫委員會第9次會議紀錄","pdf"
"http://kupc.kcg.gov.tw/KUPC/web_upload/KPA0007/20110901170710-1.pdf","高雄市都市計畫委員會第8次會議紀錄","pdf"
"http://kupc.kcg.gov.tw/KUPC/web_upload/KPA0007/20110818180800-1.pdf","高雄市都市計畫委員會第7次會議紀錄","pdf"
"http://kupc.kcg.gov.tw/KUPC/web_upload/KPA0007/20110729112657-1.pdf","高雄市都市計畫委員會第6次會議紀錄","pdf"
"http://kupc.kcg.gov.tw/KUPC/web_upload/KPA0007/20110725124833-1.pdf","高雄市都市計畫委員會第5次會議紀錄","pdf"
