"weblink","record_name","filetype"
"http://www.tupc.gov.taipei/DO/DownloadController.Attach.asp?xpath=public/Attachment/58311347133.pdf","tpup臺北市都市計畫委員會第674次委員會議紀錄","pdf"
"http://www.tupc.gov.taipei/DO/DownloadController.Attach.asp?xpath=public/Attachment/57311053927.pdf","tpup臺北市都市計畫委員會第673次委員會議紀錄","pdf"
"http://www.tupc.gov.taipei/DO/DownloadController.Attach.asp?xpath=public/Attachment/57211294975.pdf","tpup臺北市都市計畫委員會第672次委員會議紀錄","pdf"
"http://www.tupc.gov.taipei/DO/DownloadController.Attach.asp?xpath=public/Attachment/561615195222.pdf","tpup臺北市都市計畫委員會第671次委員會議紀錄","pdf"
"http://www.tupc.gov.taipei/DO/DownloadController.Attach.asp?xpath=public/Attachment/551411125026.pdf","tpup臺北市都市計畫委員會第670次委員會議紀錄","pdf"
"http://www.tupc.gov.taipei/DO/DownloadController.Attach.asp?xpath=public/Attachment/542214134064.pdf","tpup臺北市都市計畫委員會第669次委員會議紀錄","pdf"
"http://www.tupc.gov.taipei/DO/DownloadController.Attach.asp?xpath=public/Attachment/53201523331.pdf","tpup臺北市都市計畫委員會第668次委員會議紀錄","pdf"
"http://www.tupc.gov.taipei/DO/DownloadController.Attach.asp?xpath=public/Attachment/532013381162.pdf","tpup臺北市都市計畫委員會第667次委員會議紀錄","pdf"
"http://www.tupc.gov.taipei/DO/DownloadController.Attach.asp?xpath=public/Attachment/4122310214856.pdf","tpup臺北市都市計畫委員會第666次委員會議紀錄","pdf"
"http://www.tupc.gov.taipei/DO/DownloadController.Attach.asp?xpath=public/Attachment/532013384690.pdf","tpup臺北市都市計畫委員會第665次委員會議紀錄","pdf"
"http://www.tupc.gov.taipei/DO/DownloadController.Attach.asp?xpath=public/Attachment/4111717351871.pdf","tpup臺北市都市計畫委員會第664次委員會議紀錄","pdf"
